Timestamp UTC;Timestamp;Value;Source;Measurement;Unit
2024-11-21 13.00.00;2024-11-21 20.00.00;152834,7188;APF.P1;Voltage L-L Avg Mean;V
2024-11-21 13.15.00;2024-11-21 20.15.00;153076,5;APF.P1;Voltage L-L Avg High;V
2024-11-21 13.15.00;2024-11-21 20.15.00;151675,3125;APF.P1;Voltage L-L Avg Low;V
2024-11-21 13.15.00;2024-11-21 20.15.00;152421,8438;APF.P1;Voltage L-L Avg Mean;V
2024-11-21 13.30.00;2024-11-21 20.30.00;152014,375;APF.P1;Voltage L-L Avg High;V
2024-11-21 13.30.00;2024-11-21 20.30.00;151614,2813;APF.P1;Voltage L-L Avg Low;V
2024-11-21 13.30.00;2024-11-21 20.30.00;151818,5;APF.P1;Voltage L-L Avg Mean;V
2024-11-21 13.45.00;2024-11-21 20.45.00;151913,3906;APF.P1;Voltage L-L Avg High;V
2024-11-21 13.45.00;2024-11-21 20.45.00;151639,9219;APF.P1;Voltage L-L Avg Low;V
2024-11-21 13.45.00;2024-11-21 20.45.00;151780,7188;APF.P1;Voltage L-L Avg Mean;V
2024-11-21 14.00.00;2024-11-21 21.00.00;151980,5625;APF.P1;Voltage L-L Avg High;V
2024-11-21 14.00.00;2024-11-21 21.00.00;151661,7344;APF.P1;Voltage L-L Avg Low;V
2024-11-21 14.00.00;2024-11-21 21.00.00;151823,9063;APF.P1;Voltage L-L Avg Mean;V
2024-11-21 14.15.00;2024-11-21 21.15.00;152030,3594;APF.P1;Voltage L-L Avg High;V
2024-11-21 14.15.00;2024-11-21 21.15.00;151586,4219;APF.P1;Voltage L-L Avg Low;V
2024-11-21 14.15.00;2024-11-21 21.15.00;151822,5625;APF.P1;Voltage L-L Avg Mean;V
2024-11-21 14.30.00;2024-11-21 21.30.00;151995,5313;APF.P1;Voltage L-L Avg High;V
2024-11-21 14.30.00;2024-11-21 21.30.00;151581,3125;APF.P1;Voltage L-L Avg Low;V
2024-11-21 14.30.00;2024-11-21 21.30.00;151825,8906;APF.P1;Voltage L-L Avg Mean;V
2024-11-21 14.45.00;2024-11-21 21.45.00;152160,6406;APF.P1;Voltage L-L Avg High;V
2024-11-21 14.45.00;2024-11-21 21.45.00;151731,7031;APF.P1;Voltage L-L Avg Low;V
2024-11-21 14.45.00;2024-11-21 21.45.00;151991,4375;APF.P1;Voltage L-L Avg Mean;V
2024-11-21 15.00.00;2024-11-21 22.00.00;152437,5625;APF.P1;Voltage L-L Avg High;V
2024-11-21 15.00.00;2024-11-21 22.00.00;151932,5313;APF.P1;Voltage L-L Avg Low;V
2024-11-21 15.00.00;2024-11-21 22.00.00;152158,6563;APF.P1;Voltage L-L Avg Mean;V
2024-11-21 15.15.00;2024-11-21 22.15.00;152614,5781;APF.P1;Voltage L-L Avg High;V
2024-11-21 15.15.00;2024-11-21 22.15.00;152247,2344;APF.P1;Voltage L-L Avg Low;V
2024-11-21 15.15.00;2024-11-21 22.15.00;152456,0313;APF.P1;Voltage L-L Avg Mean;V
2024-11-21 15.30.00;2024-11-21 22.30.00;152541,9688;APF.P1;Voltage L-L Avg High;V
2024-11-21 15.30.00;2024-11-21 22.30.00;151782,5469;APF.P1;Voltage L-L Avg Low;V
2024-11-21 15.30.00;2024-11-21 22.30.00;152078,5938;APF.P1;Voltage L-L Avg Mean;V
2024-11-21 15.45.00;2024-11-21 22.45.00;152413,4844;APF.P1;Voltage L-L Avg High;V
2024-11-21 15.45.00;2024-11-21 22.45.00;151983,2656;APF.P1;Voltage L-L Avg Low;V
2024-11-21 15.45.00;2024-11-21 22.45.00;152129,6875;APF.P1;Voltage L-L Avg Mean;V
2024-11-21 16.00.00;2024-11-21 23.00.00;152449,4844;APF.P1;Voltage L-L Avg High;V
2024-11-21 16.00.00;2024-11-21 23.00.00;152067,4531;APF.P1;Voltage L-L Avg Low;V
2024-11-21 16.00.00;2024-11-21 23.00.00;152266,2813;APF.P1;Voltage L-L Avg Mean;V
2024-11-21 16.15.00;2024-11-21 23.15.00;152373,3125;APF.P1;Voltage L-L Avg High;V
2024-11-21 16.15.00;2024-11-21 23.15.00;151354,4375;APF.P1;Voltage L-L Avg Low;V
2024-11-21 16.15.00;2024-11-21 23.15.00;151584,8125;APF.P1;Voltage L-L Avg Mean;V
2024-11-21 16.30.00;2024-11-21 23.30.00;151752,3125;APF.P1;Voltage L-L Avg High;V
2024-11-21 16.30.00;2024-11-21 23.30.00;151380,5313;APF.P1;Voltage L-L Avg Low;V
2024-11-21 16.30.00;2024-11-21 23.30.00;151589,1406;APF.P1;Voltage L-L Avg Mean;V
