"Timestamp UTC";"Timestamp";"Value";"Source";"Measurement";"Unit"
2024-11-20 11.30.00;2024-11-20 18.30.00;150926,171875;"APF.P1";"Voltage L-L Avg Low";"V"
2024-11-20 11.30.00;2024-11-20 18.30.00;151148,40625;"APF.P1";"Voltage L-L Avg Mean";"V"
2024-11-20 11.45.00;2024-11-20 18.45.00;151321,78125;"APF.P1";"Voltage L-L Avg High";"V"
2024-11-20 11.45.00;2024-11-20 18.45.00;150912,046875;"APF.P1";"Voltage L-L Avg Low";"V"
2024-11-20 11.45.00;2024-11-20 18.45.00;151121,8125;"APF.P1";"Voltage L-L Avg Mean";"V"
2024-11-20 12.00.00;2024-11-20 19.00.00;151352,0625;"APF.P1";"Voltage L-L Avg High";"V"
2024-11-20 12.00.00;2024-11-20 19.00.00;150994,46875;"APF.P1";"Voltage L-L Avg Low";"V"
2024-11-20 12.00.00;2024-11-20 19.00.00;151176,015625;"APF.P1";"Voltage L-L Avg Mean";"V"
2024-11-20 12.15.00;2024-11-20 19.15.00;151317,9375;"APF.P1";"Voltage L-L Avg High";"V"
2024-11-20 12.15.00;2024-11-20 19.15.00;150965,96875;"APF.P1";"Voltage L-L Avg Low";"V"
2024-11-20 12.15.00;2024-11-20 19.15.00;151157,703125;"APF.P1";"Voltage L-L Avg Mean";"V"
2024-11-20 12.30.00;2024-11-20 19.30.00;151674,984375;"APF.P1";"Voltage L-L Avg High";"V"
2024-11-20 12.30.00;2024-11-20 19.30.00;150489,921875;"APF.P1";"Voltage L-L Avg Low";"V"
2024-11-20 12.30.00;2024-11-20 19.30.00;151257,71875;"APF.P1";"Voltage L-L Avg Mean";"V"
2024-11-20 12.45.00;2024-11-20 19.45.00;151611,125;"APF.P1";"Voltage L-L Avg High";"V"
2024-11-20 12.45.00;2024-11-20 19.45.00;151259,53125;"APF.P1";"Voltage L-L Avg Low";"V"
2024-11-20 12.45.00;2024-11-20 19.45.00;151460,640625;"APF.P1";"Voltage L-L Avg Mean";"V"
2024-11-20 13.00.00;2024-11-20 20.00.00;151763,390625;"APF.P1";"Voltage L-L Avg High";"V"
2024-11-20 13.00.00;2024-11-20 20.00.00;151353,203125;"APF.P1";"Voltage L-L Avg Low";"V"
2024-11-20 13.00.00;2024-11-20 20.00.00;151533,6875;"APF.P1";"Voltage L-L Avg Mean";"V"
2024-11-20 13.15.00;2024-11-20 20.15.00;151781,609375;"APF.P1";"Voltage L-L Avg High";"V"
2024-11-20 13.15.00;2024-11-20 20.15.00;151380,1875;"APF.P1";"Voltage L-L Avg Low";"V"
2024-11-20 13.15.00;2024-11-20 20.15.00;151579,328125;"APF.P1";"Voltage L-L Avg Mean";"V"
2024-11-20 13.30.00;2024-11-20 20.30.00;151864,46875;"APF.P1";"Voltage L-L Avg High";"V"
2024-11-20 13.30.00;2024-11-20 20.30.00;151532,984375;"APF.P1";"Voltage L-L Avg Low";"V"
2024-11-20 13.30.00;2024-11-20 20.30.00;151671,109375;"APF.P1";"Voltage L-L Avg Mean";"V"
